path,section,current_ui_tab,current_ui_group,current_ui_order,proposed_level,proposed_tab,proposed_group,active_when,required_in_modes,required_when,enum,default,runtime_consumers,description
mapping.camunda_adapter.process_name,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,B2BContracts_ApproveProject|procurement,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; src/application/services/bpmn_structure_parser_service.py; src/application/services/instance_graph_assembler_service.py; src/application/services/topology_extractor_service.py; src/cli.py; src/domain/ports/camunda_bpmn_port.py; src/domain/ports/camunda_runtime_port.py; src/domain/ports/instance_graph_port.py; src/domain/ports/knowledge_graph_port.py; src/domain/services/dynamic_graph_builder.py,Camunda process/tenant/time filtering parameter.
mapping.camunda_adapter.runtime.connection_profile,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/infrastructure/config/connection_resolver.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.runtime.connections_file,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/infrastructure/config/connection_resolver.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.runtime.export_dir,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.runtime.history_cleanup_aware,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.runtime.legacy_removal_time_policy,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.runtime.mssql.connection_profile,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/infrastructure/config/connection_resolver.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.runtime.on_missing_removal_time,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.runtime.runtime_source,mapping,input,source,10,project_setup,Project Setup,Connection / Dataset / Adapter,always,,mapping.adapter=camunda,files|mssql,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/stage3_1_runtime_refresh.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.runtime.sql_dir,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda runtime source/connection/filter parameter.
mapping.camunda_adapter.since,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; src/adapters/ingestion/xes_adapter.py; src/cli.py; src/domain/entities/event_record.py; src/domain/ports/camunda_runtime_port.py; src/domain/ports/instance_graph_port.py; src/infrastructure/repositories/in_memory_instance_graph_repository.py; src/tools/inspect_data.py; tools/experiment_ui.py; tools/stage3_1_runtime_refresh.py; tools/sync_stats.py,Camunda process/tenant/time filtering parameter.
mapping.camunda_adapter.structure.bpmn_source,mapping,eopkg,structure,2,project_setup,Project Setup,Connection / Dataset / Adapter,always,,mapping.adapter=camunda,files|mssql,,src/adapters/ingestion/camunda_bpmn_adapter.py; tools/experiment_ui.py; tools/sync_topology.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.call_activity.inference_fallback_strategy,mapping,eopkg,structure,50,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/application/services/bpmn_structure_parser_service.py; src/domain/entities/process_structure.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/simulate_versioned_log.py; tools/sync_topology.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.connection_profile,mapping,eopkg,structure,6,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/infrastructure/config/connection_resolver.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.connections_file,mapping,eopkg,structure,7,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/infrastructure/config/connection_resolver.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.files.bpmn_dir,mapping,eopkg,structure,5,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; tools/experiment_ui.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.files.catalog_file,mapping,eopkg,structure,4,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; tools/experiment_ui.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.files.export_dir,mapping,eopkg,structure,3,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.mssql.connection_profile,mapping,eopkg,structure,50,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/infrastructure/config/connection_resolver.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.parser_mode,mapping,eopkg,structure,9,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/application/services/bpmn_structure_parser_service.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/simulate_versioned_log.py; tools/sync_topology.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.source,mapping,eopkg,structure,1,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,bpmn|logs,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; src/adapters/ingestion/xes_adapter.py; src/application/services/bpmn_structure_parser_service.py; src/application/services/instance_graph_assembler_service.py; src/application/use_cases/trainer.py; src/cli.py; src/domain/entities/event_record.py; src/domain/entities/feature_config.py; src/domain/entities/process_structure.py; src/domain/entities/tensor_contract.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.sql_dir,mapping,eopkg,structure,8,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; tools/experiment_ui.py; tools/sync_stats.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.structure_from_logs,mapping,eopkg,structure,50,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/cli.py; tools/experiment_ui.py; tools/ingest_topology.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.subprocess_mode,mapping,eopkg,structure,10,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/application/services/bpmn_structure_parser_service.py; src/application/services/instance_graph_assembler_service.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/simulate_versioned_log.py; tools/sync_topology.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.structure.version_key_format,mapping,eopkg,structure,50,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,tools/experiment_ui.py,Camunda BPMN structure ingestion parameter.
mapping.camunda_adapter.subprocess_graph_mode,mapping,eopkg,structure,11,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/application/services/instance_graph_assembler_service.py; tools/experiment_ui.py,Camunda process/tenant/time filtering parameter.
mapping.camunda_adapter.tenant_filters,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; tools/experiment_ui.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/sync_topology.py,Camunda process/tenant/time filtering parameter.
mapping.camunda_adapter.tenant_id,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/infrastructure/repositories/neo4j_knowledge_graph_repository.py; tools/experiment_ui.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/sync_topology.py,Camunda process/tenant/time filtering parameter.
mapping.camunda_adapter.until,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; src/domain/ports/camunda_runtime_port.py; src/domain/ports/instance_graph_port.py; src/infrastructure/repositories/in_memory_instance_graph_repository.py; src/infrastructure/repositories/neo4j_knowledge_graph_repository.py; tools/experiment_ui.py; tools/graph_cache_cleaner.py; tools/stage3_1_runtime_refresh.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/visualize_graph.py,Camunda process/tenant/time filtering parameter.
mapping.camunda_adapter.version_key,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,|v5|v6,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; src/adapters/ingestion/xes_adapter.py; src/application/services/bpmn_structure_parser_service.py; src/application/services/instance_graph_assembler_service.py; src/application/services/topology_extractor_service.py; src/application/services/trace_sampling_policy.py; src/cli.py; src/domain/ports/camunda_runtime_port.py; src/domain/ports/instance_graph_port.py; src/domain/ports/knowledge_graph_port.py; src/domain/services/dynamic_graph_builder.py,Camunda process/tenant/time filtering parameter.
mapping.graph_feature_mapping.enabled,mapping,legacy,deprecated,9999,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,False,,Enables canonical stats_index -> tensor mapping for structural branch.
mapping.graph_feature_mapping.stats_quality_gate.enabled,mapping,eopkg,graph_mapping,4,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,True,,Enables consumer-side stats quality gate in DynamicGraphBuilder.
mapping.graph_feature_mapping.stats_quality_gate.min_history_coverage_percent,mapping,eopkg,graph_mapping,7,project_setup,Project Setup,Structure / Stats Source,always,,,,0.0,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Minimal history coverage required by consumer gate.
mapping.graph_feature_mapping.stats_quality_gate.min_non_zero_ratio_overall,mapping,eopkg,graph_mapping,6,project_setup,Project Setup,Structure / Stats Source,always,,,,0.0,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Minimal overall non-zero ratio required by consumer gate.
mapping.graph_feature_mapping.stats_quality_gate.on_fail,mapping,eopkg,graph_mapping,3,project_setup,Project Setup,Structure / Stats Source,always,,,ignore_with_warning|allow_with_warning|raise,ignore_with_warning,src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Action on consumer quality gate fail.
mapping.graph_feature_mapping.stats_quality_gate.warn_on_fail,mapping,eopkg,graph_mapping,4,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,True,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Emit warning when consumer quality gate rejects or downgrades stats payload.
mapping.graph_feature_mapping.stats_quality_gate.zero_dominant_threshold,mapping,eopkg,graph_mapping,5,project_setup,Project Setup,Structure / Stats Source,always,,,,0.95,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Threshold above which stats snapshot is considered zero-dominant.
mapping.graph_feature_mapping.topology_projection.diagnostics_enabled,mapping,eopkg,graph_mapping,2,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,True,src/domain/services/dynamic_graph_builder.py,Enables post-projection topology alignment diagnostics for structural tensors and allowed_target_mask.
mapping.graph_feature_mapping.topology_projection.gateway_mode,mapping,eopkg,graph_mapping,1,project_setup,Project Setup,Structure / Stats Source,always,,,preserve|collapse_for_prediction,collapse_for_prediction,src/cli.py; src/domain/services/dynamic_graph_builder.py; src/domain/services/topology_projection_alignment.py; tools/experiment_ui.py,Controls whether BPMN gateway nodes are preserved or collapsed into task-to-task projection for GNN/mask runtime.
mapping.graph_feature_mapping.topology_projection.on_fail,mapping,eopkg,graph_mapping,3,project_setup,Project Setup,Structure / Stats Source,always,,,warn|raise|disable_struct,warn,src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Action when post-projection topology alignment cannot be proven.
mapping.knowledge_graph.backend,mapping,eopkg,backend,1,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,in_memory|file|neo4j,file,src/application/services/topology_extractor_service.py; src/cli.py; src/infrastructure/repositories/file_based_knowledge_graph_repository.py; src/infrastructure/repositories/knowledge_graph_repository_factory.py; src/infrastructure/repositories/neo4j_knowledge_graph_repository.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/sync_stats.py; tools/sync_topology.py; tools/visualize_graph.py; tools/visualize_topology.py,Repository backend for structure/snapshot artifacts.
mapping.knowledge_graph.ingest_split,mapping,eopkg,backend,7,advanced,Advanced,Other,always,,,full|train,,src/infrastructure/repositories/knowledge_graph_repository_factory.py; tools/experiment_ui.py; tools/ingest_topology.py,Knowledge graph backend/storage/connectivity parameter.
mapping.knowledge_graph.neo4j.connection_profile,mapping,eopkg,backend,3,advanced,Advanced,Other,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/infrastructure/config/connection_resolver.py; tools/experiment_ui.py; tools/sync_stats.py,Knowledge graph backend/storage/connectivity parameter.
mapping.knowledge_graph.neo4j.connections_file,mapping,eopkg,backend,4,advanced,Advanced,Other,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/adapters/ingestion/camunda_runtime_adapter.py; src/infrastructure/config/connection_resolver.py; tools/experiment_ui.py; tools/sync_stats.py,Knowledge graph backend/storage/connectivity parameter.
mapping.knowledge_graph.neo4j.verify_connectivity,mapping,eopkg,backend,5,advanced,Advanced,Other,always,,,,,src/infrastructure/repositories/knowledge_graph_repository_factory.py; src/infrastructure/repositories/neo4j_knowledge_graph_repository.py; tools/experiment_ui.py,Knowledge graph backend/storage/connectivity parameter.
mapping.knowledge_graph.path,mapping,eopkg,backend,6,advanced,Advanced,Other,always,,,,,,Knowledge graph backend/storage/connectivity parameter.
mapping.knowledge_graph.strict_load,mapping,eopkg,backend,2,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,false|true,,src/cli.py; src/infrastructure/repositories/knowledge_graph_repository_factory.py; tools/experiment_ui.py,Knowledge graph backend/storage/connectivity parameter.
mapping.xes_adapter.activity_key,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/xes_adapter.py; src/cli.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
mapping.xes_adapter.case_id_key,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/xes_adapter.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
mapping.xes_adapter.complete_transitions,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/xes_adapter.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
